id;nombre;direccion;telefono
1;Underpass;logistical calculate;Clothing deposit Tunisian Dinar
2;quantify drive;generating directional Small;Arkansas Avon Reactive
3;Refined implementation;B2C maroon;De-engineered Right-sized circuit
4;circuit Sports;Creative;Tunisia Louisiana Vista
5;Buckinghamshire Corporate Loaf;Health RSS Corporate;Games Plastic Administrator
6;Jersey Wooden;Avon parse Qatari Rial;optical
7;bandwidth Refined Frozen Bacon well-modulated;Avon bricks-and-clicks Jewelery;Avon
8;Open-source Lebanon dot-com;Computers 24/365 Practical;redundant
9;e-markets Checking Account;SCSI;Serbian Dinar Functionality
10;Dam;magnetic;Chair IB
